Date, Time, Analog0(v), Analog8(v), Temperature(C), Pressure(hPa), Humidity(%), M32JM pressure sensor Pressure (psi), M32JM temperature (C)
2021-07-16, 00:00:01, 3.848, 5.184, 25.84, 1007.5, 52.894991, 0.03, 26.76
2021-07-16, 00:00:11, 3.848, 5.184, 25.83, 1007.5, 52.848034, 0.03, 26.76
2021-07-16, 00:00:21, 3.848, 5.184, 25.84, 1007.5, 52.749082, 0.04, 26.76
2021-07-16, 00:00:31, 3.844, 5.184, 25.85, 1007.5, 52.731705, 0.04, 26.76
2021-07-16, 00:00:41, 3.852, 5.184, 25.85, 1007.5, 52.720031, 0.03, 26.76
2021-07-16, 00:00:51, 3.856, 5.192, 25.85, 1007.5, 52.661665, 0.03, 26.76
2021-07-16, 00:01:01, 3.856, 5.192, 25.85, 1007.5, 52.615102, 0.04, 26.76
2021-07-16, 00:01:11, 3.844, 5.184, 25.85, 1007.5, 52.626644, 0.04, 26.76
2021-07-16, 00:01:20, 3.848, 5.192, 25.86, 1007.4, 52.626906, 0.04, 26.76
2021-07-16, 00:01:30, 3.856, 5.192, 25.86, 1007.5, 52.591884, 0.04, 26.76
2021-07-16, 00:01:40, 3.856, 5.192, 25.86, 1007.4, 52.626906, 0.04, 26.76
2021-07-16, 00:01:50, 3.844, 5.184, 25.86, 1007.4, 52.609526, 0.04, 26.76
2021-07-16, 00:02:00, 3.844, 5.192, 25.86, 1007.5, 52.644548, 0.05, 26.76
2021-07-16, 00:02:10, 3.848, 5.192, 25.86, 1007.5, 52.627037, 0.05, 26.76
2021-07-16, 00:02:20, 3.840, 5.176, 25.86, 1007.5, 52.662059, 0.05, 26.76
2021-07-16, 00:02:30, 3.852, 5.184, 25.86, 1007.5, 52.603689, 0.05, 26.76
2021-07-16, 00:02:40, 3.848, 5.184, 25.89, 1007.5, 52.627560, 0.05, 26.76
2021-07-16, 00:02:50, 3.852, 5.192, 25.88, 1007.4, 52.621461, 0.05, 26.76
2021-07-16, 00:03:00, 3.848, 5.192, 25.88, 1007.4, 52.598113, 0.05, 26.76
2021-07-16, 00:03:10, 3.848, 5.184, 25.88, 1007.5, 52.604080, 0.05, 26.76
2021-07-16, 00:03:20, 3.844, 5.184, 25.88, 1007.6, 52.603950, 0.05, 26.76
2021-07-16, 00:03:30, 3.848, 5.192, 25.88, 1007.5, 52.615755, 0.05, 26.76
2021-07-16, 00:03:40, 3.844, 5.184, 25.89, 1007.5, 52.610179, 0.05, 26.76
2021-07-16, 00:03:50, 3.844, 5.184, 25.88, 1007.4, 52.627298, 0.05, 26.76
2021-07-16, 00:03:59, 3.844, 5.184, 25.89, 1007.4, 52.615886, 0.05, 26.76
2021-07-16, 00:04:09, 3.848, 5.192, 25.89, 1007.5, 52.615886, 0.05, 26.76
2021-07-16, 00:04:19, 3.844, 5.184, 25.90, 1007.5, 52.598635, 0.04, 26.76
2021-07-16, 00:04:29, 3.856, 5.184, 25.89, 1007.5, 52.575155, 0.04, 26.76
2021-07-16, 00:04:39, 3.848, 5.192, 25.91, 1007.5, 52.569837, 0.05, 26.76
2021-07-16, 00:04:49, 3.844, 5.184, 25.91, 1007.6, 52.558162, 0.05, 26.76
2021-07-16, 00:04:59, 3.852, 5.184, 25.91, 1007.5, 52.546357, 0.04, 26.76
2021-07-16, 00:05:09, 3.852, 5.192, 25.91, 1007.5, 52.546357, 0.04, 26.76
2021-07-16, 00:05:19, 3.844, 5.184, 25.92, 1007.6, 52.534941, 0.04, 26.76
2021-07-16, 00:05:29, 3.844, 5.184, 25.92, 1007.4, 52.523265, 0.04, 26.76
2021-07-16, 00:05:39, 3.848, 5.192, 25.92, 1007.5, 52.534941, 0.05, 26.76
2021-07-16, 00:05:49, 3.840, 5.176, 25.92, 1007.5, 52.634313, 0.05, 26.76
2021-07-16, 00:05:59, 3.844, 5.184, 25.92, 1007.6, 52.745095, 0.06, 26.76
2021-07-16, 00:06:09, 3.840, 5.184, 25.92, 1007.5, 52.651695, 0.06, 26.76
2021-07-16, 00:06:19, 3.856, 5.184, 25.92, 1007.5, 52.616669, 0.05, 26.76
2021-07-16, 00:06:29, 3.852, 5.184, 25.92, 1007.4, 52.622637, 0.05, 26.76
2021-07-16, 00:06:38, 3.844, 5.184, 25.91, 1007.4, 52.634051, 0.04, 26.76
2021-07-16, 00:06:48, 3.844, 5.184, 25.93, 1007.5, 52.616930, 0.04, 26.76
2021-07-16, 00:06:58, 3.848, 5.184, 25.93, 1007.4, 52.599417, 0.05, 26.86
2021-07-16, 00:07:08, 3.848, 5.184, 25.93, 1007.5, 52.634444, 0.05, 26.86
2021-07-16, 00:07:18, 3.852, 5.192, 25.93, 1007.4, 52.663763, 0.04, 26.86
2021-07-16, 00:07:28, 3.852, 5.184, 25.94, 1007.5, 52.675570, 0.04, 26.86
2021-07-16, 00:07:38, 3.844, 5.184, 25.93, 1007.5, 52.675439, 0.04, 26.86
2021-07-16, 00:07:48, 3.840, 5.184, 25.94, 1007.5, 52.652219, 0.04, 26.86
2021-07-16, 00:07:58, 3.848, 5.192, 25.94, 1007.5, 52.605515, 0.05, 26.86
2021-07-16, 00:08:08, 3.848, 5.184, 25.94, 1007.5, 52.605515, 0.05, 26.86
2021-07-16, 00:08:18, 3.848, 5.184, 25.94, 1007.5, 52.582294, 0.05, 26.86
2021-07-16, 00:08:28, 3.844, 5.192, 25.94, 1007.5, 52.588132, 0.05, 26.86
2021-07-16, 00:08:38, 3.848, 5.184, 25.95, 1007.5, 52.599938, 0.04, 26.86
2021-07-16, 00:08:48, 3.844, 5.184, 25.94, 1007.5, 52.593970, 0.04, 26.86
